"year","result"
665,0
666,0
667,0
668,0
669,0
670,2
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,5
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,168
701,2
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,2
747,0
748,0
749,0
750,6
751,1
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,7
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,8
776,0
777,0
778,0
779,0
780,39
781,0
782,0
783,0
784,0
785,18
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,2
796,0
797,0
798,0
799,0
800,238
801,145
802,0
803,1
804,0
805,5
806,1
807,0
808,0
809,0
810,1
811,0
812,1
813,0
814,0
815,2
816,0
817,0
818,0
819,1
820,3
821,0
822,0
823,0
824,0
825,15
826,13
827,0
828,0
829,0
830,0
831,0
832,0
833,10
834,5
835,36
836,0
837,0
838,0
839,0
840,1
841,0
842,0
843,1
844,0
845,6
846,13
847,0
848,0
849,0
850,63
851,15
852,0
853,1
854,0
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,5
866,2
867,1
868,0
869,0
870,5
871,0
872,3
873,0
874,0
875,2
876,1
877,0
878,0
879,0
880,3
881,0
882,0
883,0
884,0
885,14
886,1
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,0
900,95
901,26
902,0
903,0
904,0
905,2
906,0
907,1
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,2
946,1
947,0
948,0
949,0
950,4
951,7
952,0
953,1
954,0
955,1
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,0
964,0
965,1
966,0
967,1
968,0
969,0
970,2
971,0
972,0
973,0
974,0
975,6
976,2
977,0
978,1
979,0
980,6
981,1
982,0
983,0
984,0
985,2
986,4
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,1
998,0
999,1
1000,80
1001,66
1002,0
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,3
1013,1
1014,4
1015,1
1016,3
1017,1
1018,3
1019,1
1020,2
1021,0
1022,1
1023,0
1024,1
1025,5
1026,8
1027,1
1028,0
1029,1
1030,0
1031,0
1032,0
1033,1
1034,11
1035,8
1036,0
1037,1
1038,4
1039,4
1040,2
1041,0
1042,0
1043,1
1044,0
1045,0
1046,6
1047,1
1048,0
1049,0
1050,5
1051,18
1052,0
1053,0
1054,1
1055,1
1056,2
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,1
1073,2
1074,0
1075,1
1076,0
1077,0
1078,0
1079,0
1080,33
1081,0
1082,0
1083,1
1084,3
1085,15
1086,0
1087,3
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,100
1101,116
1102,0
1103,12
1104,0
1105,1
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,1
1116,0
1117,0
1118,0
1119,2
1120,3
1121,1
1122,2
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,1
1141,17
1142,0
1143,38
1144,1
1145,2
1146,0
1147,0
1148,0
1149,1
1150,21
1151,9
1152,0
1153,0
1154,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,4
1161,0
1162,0
1163,0
1164,1
1165,1
1166,0
1167,2
1168,0
1169,0
1170,1
1171,0
1172,3
1173,1
1174,0
1175,4
1176,2
1177,0
1178,4
1179,1
1180,5
1181,1
1182,0
1183,0
1184,0
1185,16
1186,9
1187,0
1188,0
1189,0
1190,3
1191,0
1192,0
1193,1
1194,0
1195,0
1196,0
1197,2
1198,2
1199,0
1200,91
1201,236
1202,0
1203,1
1204,0
1205,0
1206,1
1207,1
1208,0
1209,1
1210,0
1211,0
1212,0
1213,2
1214,0
1215,3
1216,0
1217,1
1218,0
1219,0
1220,8
1221,0
1222,3
1223,1
1224,1
1225,8
1226,4
1227,1
1228,0
1229,6
1230,7
1231,4
1232,8
1233,5
1234,6
1235,7
1236,3
1237,1
1238,3
1239,2
1240,4
1241,2
1242,3
1243,0
1244,3
1245,14
1246,2
1247,5
1248,6
1249,0
1250,38
1251,19
1252,0
1253,2
1254,2
1255,2
1256,4
1257,11
1258,2
1259,3
1260,6
1261,2
1262,5
1263,1
1264,3
1265,5
1266,5
1267,1
1268,4
1269,2
1270,14
1271,2
1272,0
1273,0
1274,1
1275,12
1276,6
1277,2
1278,0
1279,2
1280,9
1281,3
1282,0
1283,1
1284,4
1285,23
1286,14
1287,3
1288,3
1289,0
1290,1
1291,2
1292,2
1293,1
1294,6
1295,4
1296,1
1297,8
1298,1
1299,1
1300,168
1301,425
1302,2
1303,0
1304,2
1305,2
1306,4
1307,2
1308,4
1309,0
1310,1
1311,3
1312,0
1313,3
1314,2
1315,8
1316,3
1317,4
1318,3
1319,4
1320,9
1321,4
1322,0
1323,4
1324,7
1325,11
1326,3
1327,5
1328,3
1329,3
1330,6
1331,1
1332,3
1333,4
1334,4
1335,5
1336,3
1337,3
1338,3
1339,3
1340,8
1341,4
1342,2
1343,4
1344,8
1345,13
1346,9
1347,5
1348,3
1349,4
1350,41
1351,33
1352,7
1353,3
1354,4
1355,4
1356,8
1357,3
1358,3
1359,3
1360,7
1361,2
1362,4
1363,4
1364,8
1365,7
1366,7
1367,9
1368,3
1369,6
1370,15
1371,5
1372,3
1373,2
1374,3
1375,13
1376,6
1377,1
1378,8
1379,4
1380,14
1381,2
1382,4
1383,3
1384,3
1385,21
1386,15
1387,11
1388,3
1389,6
1390,11
1391,7
1392,5
1393,8
1394,5
1395,10
1396,6
1397,12
1398,9
1399,6
1400,252
1401,772
1402,7
1403,2
1404,11
1405,14
1406,2
1407,13
1408,7
1409,8
1410,17
1411,7
1412,4
1413,8
1414,7
1415,19
1416,7
1417,15
1418,9
1419,12
1420,24
1421,11
1422,6
1423,9
1424,9
1425,57
1426,12
1427,10
1428,10
1429,6
1430,36
1431,13
1432,10
1433,17
1434,13
1435,26
1436,12
1437,9
1438,13
1439,8
1440,30
1441,19
1442,24
1443,15
1444,13
1445,36
1446,23
1447,23
1448,8
1449,12
1450,192
1451,49
1452,18
1453,10
1454,9
1455,32
1456,20
1457,21
1458,9
1459,19
1460,68
1461,17
1462,15
1463,27
1464,11
1465,49
1466,19
1467,30
1468,16
1469,42
1470,139
1471,24
1472,51
1473,32
1474,58
1475,139
1476,43
1477,34
1478,69
1479,26
1480,77
1481,43
1482,40
1483,131
1484,30
1485,71
1486,55
1487,49
1488,72
1489,64
1490,170
1491,42
1492,53
1493,56
1494,62
1495,82
1496,102
1497,86
1498,92
1499,63
1500,646
1501,228
1502,74
1503,93
1504,81
1505,110
1506,69
1507,130
1508,104
1509,126
1510,297
1511,110
1512,124
1513,159
1514,110
1515,189
1516,157
1517,113
1518,195
1519,174
1520,401
1521,189
1522,152
1523,222
1524,182
1525,273
1526,192
1527,174
1528,164
1529,141
1530,511
1531,187
1532,129
1533,282
1534,143
1535,166
1536,395
1537,136
1538,151
1539,159
1540,327
1541,157
1542,146
1543,242
1544,215
1545,274
1546,208
1547,180
1548,159
1549,163
1550,433
1551,219
1552,316
1553,244
1554,236
1555,296
1556,519
1557,284
1558,221
1559,220
1560,520
1561,433
1562,273
1563,788
1564,254
1565,224
1566,242
1567,190
1568,204
1569,293
1570,634
1571,198
1572,194
1573,240
1574,283
1575,441
1576,339
1577,260
1578,291
1579,341
1580,479
1581,437
1582,424
1583,432
1584,339
1585,366
1586,374
1587,408
1588,766
1589,348
1590,1225
1591,376
1592,529
1593,555
1594,484
1595,527
1596,567
1597,556
1598,579
1599,498
1600,1298
1601,633
1602,471
1603,495
1604,422
1605,399
1606,400
1607,393
1608,432
1609,440
1610,687
1611,388
1612,381
1613,446
1614,377
1615,439
1616,376
1617,383
1618,439
1619,503
1620,676
1621,511
1622,357
1623,267
1624,377
1625,354
1626,293
1627,355
1628,320
1629,416
1630,662
1631,387
1632,328
1633,309
1634,603
1635,247
1636,285
1637,271
1638,275
1639,220
1640,682
1641,250
1642,296
1643,254
1644,347
1645,277
1646,386
1647,327
1648,327
1649,253
1650,533
1651,407
1652,326
1653,264
1654,381
1655,346
1656,405
1657,217
1658,283
1659,299
1660,407
1661,774
1662,292
1663,237
1664,300
1665,418
1666,349
1667,336
1668,353
1669,333
1670,479
1671,341
1672,296
1673,428
1674,341
1675,358
1676,289
1677,378
1678,241
1679,331
1680,373
1681,268
1682,210
1683,356
1684,213
1685,296
1686,216
1687,199
1688,297
1689,216
1690,387
1691,245
1692,257
1693,239
1694,262
1695,311
1696,363
1697,265
1698,495
1699,321
1700,1527
1701,740
1702,419
1703,282
1704,259
1705,272
1706,318
1707,263
1708,356
1709,309
1710,606
1711,516
1712,502
1713,764
1714,417
1715,408
1716,388
1717,349
1718,618
1719,479
1720,1097
1721,460
1722,337
1723,460
1724,392
1725,489
1726,297
1727,390
1728,384
1729,303
1730,702
1731,1078
1732,508
1733,289
1734,354
1735,377
1736,240
1737,235
1738,267
1739,276
1740,513
1741,405
1742,443
1743,318
1744,542
1745,346
1746,340
1747,464
1748,377
1749,343
1750,918
1751,607
1752,487
1753,356
1754,439
1755,516
1756,710
1757,596
1758,558
1759,481
1760,922
1761,537
1762,449
1763,601
1764,556
1765,653
1766,593
1767,546
1768,709
1769,682
1770,1217
1771,581
1772,577
1773,694
1774,858
1775,922
1776,716
1777,630
1778,1300
1779,920
1780,1274
1781,1004
1782,1111
1783,943
1784,796
1785,868
1786,776
1787,749
1788,790
1789,877
1790,1532
1791,870
1792,844
1793,694
1794,798
1795,678
1796,783
1797,1038
1798,1130
1799,1109
1800,2761
1801,1157
1802,1128
1803,407
1804,526
1805,601
1806,517
1807,394
1808,463
1809,524
1810,500
1811,468
1812,631
1813,453
1814,559
1815,519
1816,438
1817,505
1818,1084
1819,528
1820,1212
1821,665
1822,958
1823,659
1824,680
1825,727
1826,678
1827,1241
1828,657
1829,989
1830,1297
1831,702
1832,826
1833,876
1834,996
1835,1310
1836,969
1837,1315
1838,1083
1839,1236
1840,1923
1841,1376
1842,1425
1843,1064
1844,1299
1845,1429
1846,1383
1847,1155
1848,1062
1849,1002
1850,2269
1851,1371
1852,1385
1853,1776
1854,1761
1855,2195
1856,2870
1857,2418
1858,2424
1859,2800
1860,5912
1861,2047
1862,2445
1863,3132
1864,2859
1865,3114
1866,2719
1867,3073
1868,2773
1869,2667
1870,3224
1871,2502
1872,2229
1873,2457
1874,2868
1875,4904
1876,4154
1877,3886
1878,3894
1879,4138
1880,6029
1881,4567
1882,3747
1883,4169
1884,3962
1885,4478
1886,5564
1887,5597
1888,5725
1889,5750
1890,8189
1891,5661
1892,5636
1893,6696
1894,6793
1895,7558
1896,6969
1897,8408
1898,10318
1899,13621
1900,18497
1901,12844
1902,13791
1903,15024
1904,16892
1905,17011
1906,15377
1907,15061
1908,15050
1909,13904
1910,17146
1911,14507
1912,15233
1913,15881
1914,22403
1915,23512
1916,20894
1917,12867
1918,23114
1919,18426
1920,17578
1921,14690
1922,13626
1923,14995
1924,14403
1925,18316
1926,17612
1927,16165
1928,17299
1929,16611
1930,22543
1931,15965
1932,14771
1933,13410
1934,16900
1935,14765
1936,15377
1937,25268
1938,46324
1939,14804
1940,13450
1941,10339
1942,10443
1943,10446
1944,9177
1945,9428
1946,11904
1947,11347
1948,11361
1949,13449
1950,18926
1951,11560
1952,13409
1953,13683
1954,14718
1955,15295
1956,13684
1957,15226
1958,15788
1959,14647
1960,18264
1961,17980
1962,16388
1963,18194
1964,23592
1965,23957
1966,20993
1967,25472
1968,21087
1969,23338
1970,61073
1971,22797
1972,25161
1973,26760
1974,27197
1975,38384
1976,29627
1977,27690
1978,27059
1979,28081
1980,35729
1981,30883
1982,27889
1983,29822
1984,30848
1985,31233
1986,31758
1987,35865
1988,34623
1989,35900
1990,42240
1991,40274
1992,43318
1993,38823
1994,40000
1995,44805
1996,48962
1997,48194
1998,49787
1999,70401
2000,72274
2001,82193
2002,98553
2003,122118
2004,127756
2005,214949
2006,210424
2007,241259
2008,226863
2009,248534
2010,266401
2011,486904
2012,692481
2013,551303
2014,1392716
2015,1765072
2016,1223116
2017,2624096
2018,2301928
2019,2514991
